Deutsch,English
Abgunst,disfavor
ablappen,fold away
Abspielgerät,Playback device
Abtritt,resignation
Achtgroschenjunge,Eightpenny Boy
Adenauerhut,Adenauer hat
Affenfett,Monkey fat
Affenschaukel,Monkey swing
Affenzahn,monkey tooth
Afterarzt,Aftercare doctor
Aftermieter,After tenant
Aküfi,Aküfi
Allbuch,All book
Amisette,Amisette
Amme,nurse
Amtsschimmel,red tape
angelegentlich,matter-of-fact
Angströhre,Fear tube
Anhalter,Hitchhiker
anheischig,attached
Animierdame,entertainer lady
Asphaltantilope,Asphalt antelope
Atombusen,Atomic bosoms
Aufgebot,posse
Augenschmaus,Eye candy
Augenstern,eye star
Augenweide,Eye candy
Aussteuer,trousseau
Autofahrergruß,Driver greeting
Babybrumme,Baby hum
Backfisch,fried fish
Backfischaquarium,Backfish aquarium
Badetag,Bath day
baff,flabbergasted
Bambule,Bambule
Bandsalat,Ribbon salad
Bankert,Bankert
bannig,spellbound
Barbier,barber
bass,bass
Bassermann,Basserman
bauchpinseln,belly brushes
Bavardage,Bavardage
Beckmesser,Beckmesser
Begrüßungsgeld,Welcome money
Behuf,Behoof
Belt,Belt
Benzinkutsche,Petrol carriage
Berber,Berber
Bergfex,Bergfex
Berserker,Berserker
Betisen,Betisen
Betonfrisur,Concrete hairstyle
Beutelschneider,Bag cutter
Beziehungskiste,Relationship box
Bildungsbürger,educated citizen
Binder,binder
Blageur,Blageur
Blaustrumpf,Bluestocking
Blümchenkaffee,Floral coffee
Blumenkind,Flower child
blümerant,flowery
Bonanzarad,Bonanza wheel
Bönhase,Bonhase
bräsig,brash
Bratkartoffelverhältnis,Roast potato ratio
Brause,shower
Bredouille,Bredouille
Breger,Breger
Brestling,Brestling
brettsegeln,board sailing
Brimborium,Brimborium
Brit,Brit
Broika,Broika
Broiler,broiler
Brummi,Brummy
Bückeisen,Bückeisen
Bückling,Kipper
Bückware,Bückware
BUKO,BUKO
Bummel,Stroll
Bürgerkäfig,Citizen cage
Butje,Butje
Butterberg,Butterberg
Café Achteck,Café Octagon
Cagot,Cagot
Chaiselongue,Chaise lounge
Chapeau claque,Chapeau claque
Characho,Characho
Charivari,Charivari
Conférencier,Emcee
dalli,dalli
Damengedeck,Ladies place setting
Damenwahl,Women's choice
Dänenfilm,Danish film
Dauerlauf,Endurance running
Daus,Daus
Demarche,Demarche
Denkungsart,way of thinking
Depesche,Dispatch
Dirne,whore
Dosentreiber,Can driver
Drahtesel,bike
Dreikäsehoch,Three cheese high
Droschke,cab
Druckbetankung,Pressure refueling
Düffeldoffel,Duffeldoffel
dufte,scented
dünken,think
Düppel,chaff
Dusel,Dusel
Duttengretel,Duttengretel
Dützer,Dützer
wilde Ehe,wild marriage
ehern,brazen
Eidam,Eidam
Eiertanz,Egg dance
Einspänner,one horse
Eisenbahnerkuh,Railway cow
Elchtest,Moose test
Elektrische,Electrical
Elle,Elle
Ellenreiter,Ellenreiter
Epauletten,Epaulettes
Eppich,Eppich
Erbfeind,hereditary enemy
Erdapfel,Potato
Eumel,Eumel
Familienplanung,Family planning
Felleisen,Felleisen
Ferkeltaxi,Piglet taxi
Fersengeld,Heel money
Fete,party
fetzig,crazy
Feudel,Feudel
Feuerstuhl,Fire chair
Fidibus,Fidibus
Filinchen,Filinchen
Filine,Filina
Firlefanz,Frippery
Fisimatenten,Fisimatents
flachsen,flaxen
Flausen,Fluffy
Flegel,Flegel
Flickschusterei,Kludge
Flugi,Flugi
Fluppe,Flupp
Fracksausen,Tailcoats
Fräulein,young lady
Fräuleinwunder,Miss Wonder
freien,free
Frischfleischparade,Fresh Meat Parade
frohlocken,rejoice
Fubbes,Fubbes
Fuchtel,Fuchtel
fürbass,for bass
Fußgasaffe,Foot gas monkey
Gabelfrühstück,Fork breakfast
Gake,Gake
Galan,Galan
Galanteriewaren,Gallantry goods
Galoschen,Galoshes
Gamaschen,Gaiters
Ganove,crook
Gänsewein,Goose wine
garstig,nasty
Geck,Dude
Gemächt,Made
Gendarm,Gendarme
Geschmeide,jewelry
Gesichtserker,Facial oriel
Gesinde,servants
Glast,Glast
Goldhähnchen,Goldcock
Griesgram,Curmudgeon
Grilletta,Grilletta
Grisette,Grisette
Groschengrab,Penny grave
Gummiadler,Rubber eagle
Gummikuh,Rubber cow
Gummitwist,Rubber twist
Gutdünken,discretion
Hackenporsche,Hackenporsche
Hader,Hader
Haderlump,Haderlump
Haftschalen,Adhesive trays
Hagestolz,Hagestolz
Hahnrei,cuckold
halbstark,half strong
Halunke,Scoundrel
Handeule,Hand owl
Hängolin,Hangolin
Harm,Harm
Haubitze,howitzer
Haudegen,Warhorse
Hausfrauenporsche,Housewife Porsche
Hausgemeinschaftsleitung,House community management
Hausierer,peddler
Hechtsuppe,Pike soup
Heiermann,Heierman
Hennecke,Hennecke
Hennenabtaster,Hen scanner
Herrengedeck,Men's place setting
Herrenwinker,Gentleman winker
Hetäre,Hetaera
heuer,this year
Himbeertoni,Raspberry Toni
Hindenburglicht,Hindenburg light
Hitparade,Hit parade
Hoffart,pride
hoffärtig,hopeful
Höhensonne,Sunlamp
hold,hold
Holzauge,wooden eye
Holzgliedermaßstab,Wooden folding rule
honett,honest
Hotmusik,Hot music
Humbug,humbug
Hundsfott,Dogfuck
Hupfdohle,Jackdaw
hurtig,quickly
I-Männchen,I-male
Imme,Always
Imponderabilien,imponderables
in petto,up your sleeve
indignieren,indignate
Industriegesellschaft,Industrial society
Influenza,Influenza
inkommodieren,incommodate
Insolenz,Insolvency
Ische,Ische
Isegrim,Isegrim
Jaffamöbel,Jaffa furniture
Jahresendflügelfigur,Year-end wing figure
Josefehe,Josefehe
Jubelperser,Jubilee Persians
alte Jungfer,old maid
Junggeselle,Bachelor
Jutebeutel,Jute bag
Kadi,Kadi
Kaiserwetter,Sunny weather
Kaltmamsell,Cold Mamsell
Kamarilla,Camarilla
Kamelpard,camel leopard
Kandelaber,Candelabra
Kanzelschwalbe,Pulpit Swallow
Kapotte,Kapotte
Kaputnik,Kaputnik
Karbolmaus,Carbolic mouse
Karfiol,cauliflower
Karnickelpass,Rabbit pass
Karteileiche,Card file corpse
Karzer,Karzer
Kaschmirkanzler,Kashmir Chancellor
Käseigel,Cheese urchin
Kassengestell,Cash register rack
Katschi,Kachi
Katzelmacher,Katzelmacher
Katzenmusik,Cat music
Kaufhalle,Department store
Kavalier,cavalier
keppeln,keppel
Kerbholz,Kerbholz
Kerbtier,insect
Ketwurst,Ketwurst
Kittchen,kitty
klaftern,clatter
Kleinod,Gem
Klimbim,Klimbim
Klitsch,Klitsch
kneippen,pinch
Knicks,Curtsy
Kniebeißer,Knee biter
knorke,knorke
Knutschkugel,Kissball
Kokolores,Cocolores
Kokotte,Cocotte
Kolonialwaren,Colonial goods
kolossal,colossal
Kommis,clerks
Kommisbrot,commis bread
kommod,commod
Konfettibecher,Confetti cup
Kopfputz,Headdress
Körperkulturistik,physical culture studies
Kotau,Kowtow
Kranzgeld,Wreath money
Kratzfuß,Scratchfoot
Krawallbrause,riot shower
Kreißl,Kreissl
Kreiswehrersatzamt,District military replacement office
Kruzitürken,Cruciturks
kujonieren,kujonate
Kummerbund,Cummerbund
Kunde,customer
Kündigungsschutz,Protection against dismissal
Kunsthonig,Artificial honey
Kuppelei,pandering
kuranzen,cures
Kurpfuscher,quack
Kurschatten,Kurshadow
Küvette,cuvette
Ladenhüter,Non-seller
Ladenschwengel,Shop handle
Laffe,Laffe
Larifari,Larifari
Latüchte,Latuche
Laufpass,Runaway
Leibchen,camisole
Leibesübungen,physical exercises
Lichtspielhaus,cinema
Liebestöter,Love killer
Linnen,Linen
löcken,lure
Lorbass,Lorbass
Lorke,Lorke
Lotterbett,Lotterbett
Lotterbube,Lotterjack
Lude,Lude
Luder,Slut
Luftikus,Luftikus
Lümmeltüte,Lump bag
Lusche,Lush
Madai-Tempel,Madai Temple
Mammon,mammon
Manchesterhose,Manchester trousers
Mangeltag,shortage day
Mantalette,Mantalette
Masel,Masel
Matrone,matron
Mauerblümchen,Wallflower
Mauerspecht,wall woodpecker
Maulaffe,Mouth monkey
Maulschelle,Clamp
Merker,Marker
meschugge,meshugge
Messingisch,Brassy
Metze,Metze
